[0.00s -> 0.54s]  A little bit of...
[1.92s -> 3.02s]  ...gump or a pufferfish.
[8.66s -> 11.36s]  This guy was starting to eat me and our teammate just fucking went crazy.
[11.44s -> 11.96s]  Are you getting kicked out?
[20.60s -> 22.10s]  I don't think that you should eat, bro.
[24.88s -> 26.54s]  You're definitely not gonna eat now, nigga.
[26.54s -> 27.72s]  Yeah, I know.
[27.78s -> 28.74s]  You're not gonna test a lot.
[36.90s -> 38.26s]  Bro, chill.
[42.48s -> 48.72s]  Wait, wait, wait.
[56.54s -> 57.12s]  You're not gonna get a pro, you know?
[61.58s -> 64.40s]  I already know I'm about to find an Enderman and then kill it and not get a fucking...
[65.08s -> 65.38s]  ...pro.
[67.24s -> 68.00s]  Dude, that's what that's...
[68.00s -> 69.86s]  I wanted to go Warrior and Rush and that's what I was doing.
[70.80s -> 72.94s]  And I just kept killing these Endermen and not getting pros.
[79.12s -> 81.56s]  Okay, I already have...
[81.56s -> 82.84s]  My Smelter's picking three iron.
[82.92s -> 84.10s]  I can go get a bucket right now.
[90.54s -> 91.28s]  Fuck, bro.
[91.34s -> 92.16s]  Is there any water in here?
[92.38s -> 93.92s]  Oh, you're a magical Enderman.
[94.96s -> 96.10s]  There's water right in your neck.
[98.50s -> 101.16s]  I need my Warrior up to a level where I can fucking start.
[101.66s -> 102.44s]  Oh, I got a notch.
[103.86s -> 104.50s]  Bro, what?
[104.84s -> 107.16s]  I just ran into a structure and there was a factory.
[108.72s -> 109.54s]  Do you need medicine?
[110.98s -> 112.34s]  Bro, what the f...
[112.34s -> 113.84s]  Okay, come to my cave now, bro.
[115.78s -> 116.52s]  Oh my god.
[116.52s -> 116.76s]  Oh my god.
[116.78s -> 117.52s]  And three diamonds.
[118.52s -> 119.22s]  Yo, okay.
